Customer ID,Created Date,Completion Date,Invoice Business Unit,Job Type,Job Status,Campaign Category,Campaign,Location Zip,Total,Opportunity
473147772,8/12/2026,8/11/2026,HVAC Service,10+ HVAC Unit,Completed,Google Business Profiles,GMB_SanDiego,91942,-$193.29,TRUE
31712951,8/13/2026,,HVAC Service,10+ HVAC Unit,Scheduled,PPC,Google | Search | Brand,92127,$0.00,TRUE
31661297,8/15/2026,,HVAC Service,10+ HVAC Unit,Scheduled,Organic Search,Yahoo Organic,91913,$0.00,TRUE
100466568,8/15/2026,8/16/2026,HVAC Service,10+ HVAC Unit,Completed,PPC,Google | Search | Brand,92109,$442.95,TRUE
31705097,8/16/2026,8/22/2026,HVAC Service,10+ HVAC Unit,Canceled,PPC,Google | Search | HVAC,92010,$0.00,TRUE
31729138,8/18/2026,7/21/2026,HVAC Service,10+ HVAC Unit,Completed,Google Business Profiles,GMB_SanDiego,92124,-$87.00,TRUE
31557719,8/19/2026,8/19/2026,HVAC Service,10+ HVAC Unit,Completed,Branded Phone Number,A1-800-BILL HOWE,92024,$450.00,TRUE
1097454036,8/20/2026,7/21/2026,HVAC Service,10+ HVAC Unit,Completed,Website,Website Phone Calls,92106,$0.00,TRUE
1129245559,8/22/2026,,HVAC Service,10+ HVAC Unit,Scheduled,PPC,Google | PMAX | Drains,92103,$0.00,TRUE
1129254289,8/22/2026,,HVAC Service,10+ HVAC Unit,Scheduled,Google Business Profiles,GMB_SanDiego,91915,$0.00,TRUE
1079791184,8/22/2026,8/23/2026,HVAC Service,10+ HVAC Unit,Completed,PPC,Google | Search | Brand,92115,$0.00,FALSE
1074714114,8/22/2026,8/23/2026,HVAC Service,10+ HVAC Unit,Completed,Direct Web Traffic,Direct Web Traffic,92128,$484.01,TRUE
1129252313,8/22/2026,,HVAC Service,10+ HVAC Unit,Hold,Google Business Profiles,GMB_SanDiego,92120,$0.00,TRUE
52399802,8/22/2026,,HVAC Service,10+ HVAC Unit,Scheduled,PPC,Google | Search | Brand,92110,$0.00,TRUE
31703361,8/22/2026,,HVAC Service,10+ HVAC Unit,Scheduled,Branded Phone Number,Local 619,92014,$0.00,TRUE
483812940,8/23/2026,,HVAC Service,10+ HVAC Unit,Scheduled,Google Business Profiles,GMB_SanDiego,92104,$0.00,FALSE
31609259,8/23/2026,,HVAC Service,10+ HVAC Unit,Scheduled,Google Business Profiles,GMB_SanDiego,92131,$0.00,TRUE
902469128,8/10/2026,7/10/2026,HVAC Install,A/C New Install,Completed,Branded Phone Number,Local 619,92128,$7064.61,TRUE
31690326,8/10/2026,8/17/2026,HVAC Install,A/C New Install,Completed,Organic Search,Bing Organic,92104,$9276.00,TRUE
341976366,8/10/2026,,HVAC Install,A/C New Install,Hold,Google Business Profiles,GMB_SanDiego,92024,$16468.66,TRUE
100604031,8/12/2026,,HVAC Install,A/C New Install,Scheduled,Branded Phone Number,Local 619,92037,$11692.91,TRUE
100604031,8/12/2026,,HVAC Install,A/C New Install,Scheduled,Branded Phone Number,Local 619,92037,$9826.09,TRUE
1118932901,8/12/2026,,HVAC Install,A/C New Install,Scheduled,Google Business Profiles,GMB_SanDiego,91911,$10500.06,TRUE
31727681,8/13/2026,8/18/2026,HVAC Install,A/C New Install,Canceled,PPC,Google | Search | Brand,92024,$0.00,TRUE
902469128,8/14/2026,8/5/2026,HVAC Install,A/C New Install,Completed,Google Business Profiles,GMB_SanDiego,92154,$6229.41,TRUE
1115670701,8/14/2026,8/13/2026,HVAC Install,A/C New Install,Completed,PPC,Google | Search | Competitor,91914,$0.00,TRUE
319681123,8/14/2026,8/12/2026,HVAC Install,A/C New Install,Completed,Branded Phone Number,Local 619,91911,$0.00,TRUE
31699314,8/14/2026,,HVAC Install,A/C New Install,Hold,Branded Phone Number,A1-800-BILL HOWE,92014,$17715.14,TRUE
319681123,8/17/2026,8/12/2026,HVAC Install,A/C New Install,Completed,Branded Phone Number,Local 619,91911,$0.00,TRUE
