Customer ID,Created Date,Completion Date,Invoice Business Unit,Job Type,Job Status,Campaign Category,Campaign,Location Zip,Total,Opportunity,C Year,C Qtr,C Mo,B Year,B Qtr,B Mo,B Wk
31537512,1/1/2023,1/1/2023,Restoration EMS,EMS Estimate,Canceled,Account,Account Customer,92107,$0.00,TRUE,2023,1,January,2023,1,January,1
61443718,1/1/2023,1/2/2023,Plumbing,Kitchen Faucet,Canceled,Branded Phone Number,Local 619,92110,$0.00,TRUE,2023,1,January,2023,1,January,1
331495853,1/1/2023,1/3/2023,Drains,Kitchen Stop,Canceled,Branded Phone Number,Local 619,92111,$0.00,TRUE,2023,1,January,2023,1,January,1
31575607,1/1/2023,1/2/2023,Drains,Toilet Stop,Canceled,Branded Phone Number,A1-800-BILL HOWE,92014,$0.00,TRUE,2023,1,January,2023,1,January,1
31615823,1/1/2023,1/2/2023,Drains,Toilet Stop,Canceled,Branded Phone Number,Local 619,92107,$0.00,TRUE,2023,1,January,2023,1,January,1
31705218,1/1/2023,1/1/2023,Drains,Toilet Leak,Canceled,Branded Phone Number,Local 619,92101,$0.00,TRUE,2023,1,January,2023,1,January,1
331500966,1/1/2023,1/3/2023,Drains,Drain Estimate,Canceled,Chat/ Online Booking - Schedule Engine,Schedule Engine,91911,$0.00,TRUE,2023,1,January,2023,1,January,1
31630978,1/1/2023,1/2/2023,Drains,Sewer Smell,Canceled,Chat/ Online Booking - Schedule Engine,Schedule Engine Voice,92116,$0.00,TRUE,2023,1,January,2023,1,January,1
331491242,1/1/2023,1/3/2023,Drains,Kitchen Stop,Canceled,Google Business Profiles,GMB_SanDiego,92014,$0.00,TRUE,2023,1,January,2023,1,January,1
47800577,1/1/2023,1/2/2023,Drains,Tub/Shower Stop,Canceled,Google Business Profiles,GMB_SanDiego,92116,$0.00,TRUE,2023,1,January,2023,1,January,1
310736225,1/1/2023,1/2/2023,Drains,Upper/Lower Leak,Canceled,Google Business Profiles,GMB_SanDiego,92116,$0.00,TRUE,2023,1,January,2023,1,January,1
331489710,1/1/2023,2/10/2023,Drains,Jetting- Residential,Canceled,Repeat Customer,Repeat Customer,92126,$0.00,TRUE,2023,1,January,2023,1,January,1
331319221,1/1/2023,1/2/2023,Plumbing,Water Heater Install - Residential,Canceled,Repeat Customer,Repeat Customer,92071,$0.00,TRUE,2023,1,January,2023,1,January,1
269118846,1/1/2023,1/2/2023,Drains,Lavatory Stop,Canceled,Website,Website Phone Calls,92130,$0.00,TRUE,2023,1,January,2023,1,January,1
31702279,1/1/2023,1/3/2023,Drains,Toilet Leak,Canceled,Website,Website Phone Calls,92104,$0.00,TRUE,2023,1,January,2023,1,January,1
31653238,1/1/2023,1/2/2023,Drains,Toilet Leak,Canceled,Website,Website Phone Calls,92130,$0.00,TRUE,2023,1,January,2023,1,January,1
66585896,1/1/2023,1/3/2023,HVAC Service,Diagnosis,Completed,Branded Phone Number,A1-800-BILL HOWE,92122,$0.00,FALSE,2023,1,January,2023,1,January,1
31728322,1/1/2023,1/3/2023,Plumbing,Laundry Bibbs,Completed,Branded Phone Number,Local 619,92116,$0.00,TRUE,2023,1,January,2023,1,January,1
325471484,1/1/2023,1/1/2023,Drains,Mainline Stop,Completed,Branded Phone Number,A1-800-BILL HOWE,92009,$446.00,TRUE,2023,1,January,2023,1,January,1
60194899,1/1/2023,1/2/2023,Drains,Mainline Stop,Completed,Branded Phone Number,Local 619,92014,$422.00,TRUE,2023,1,January,2023,1,January,1
66808346,1/1/2023,1/1/2023,Drains,Mainline Stop,Completed,Branded Phone Number,Local 619,92111,$835.78,TRUE,2023,1,January,2023,1,January,1
31565591,1/1/2023,1/1/2023,Plumbing,Plumbing Service,Completed,Branded Phone Number,Local 619,92105,$436.00,TRUE,2023,1,January,2023,1,January,1
254081079,1/1/2023,1/1/2023,Plumbing,Plumbing Service,Completed,Branded Phone Number,Local 619,92126,$1285.34,TRUE,2023,1,January,2023,1,January,1
31692010,1/1/2023,1/4/2023,Re-Pipe,Slab Leak,Completed,Branded Phone Number,Local 619,92126,$260.00,TRUE,2023,1,January,2023,1,January,1
98357937,1/1/2023,1/1/2023,Restoration RECON,Subcontractor,Completed,Branded Phone Number,Local 619,92119,$0.00,FALSE,2023,1,January,2023,1,January,1
31535875,1/1/2023,1/1/2023,Drains,Toilet Stop,Completed,Branded Phone Number,Local 619,92113,$408.00,TRUE,2023,1,January,2023,1,January,1
331508658,1/1/2023,1/3/2023,Plumbing,Tub/Shower Faucet,Completed,Branded Phone Number,A1-800-BILL HOWE,91913,$194.32,TRUE,2023,1,January,2023,1,January,1
331491344,1/1/2023,1/3/2023,Plumbing,Water Heater Install - Residential,Completed,Branded Phone Number,A1-800-BILL HOWE,92126,$189.00,TRUE,2023,1,January,2023,1,January,1
31584664,1/1/2023,1/3/2023,Drains,Disposal,Completed,Chat/ Online Booking - Schedule Engine,Schedule Engine,92129,$381.33,TRUE,2023,1,January,2023,1,January,1
303194571,1/1/2023,1/3/2023,Plumbing,Lavatory Faucet,Completed,Chat/ Online Booking - Schedule Engine,Schedule Engine,92111,$387.02,TRUE,2023,1,January,2023,1,January,1
31542754,1/1/2023,1/3/2023,Drains,Lavatory Stop,Completed,Chat/ Online Booking - Schedule Engine,Schedule Engine,92109,$0.00,TRUE,2023,1,January,2023,1,January,1
42984842,1/1/2023,1/3/2023,Plumbing,Pipe Leak,Completed,Chat/ Online Booking - Schedule Engine,Schedule Engine,92130,$0.00,TRUE,2023,1,January,2023,1,January,1
54100143,1/1/2023,1/3/2023,Drains,Tub/Shower Stop,Completed,Chat/ Online Booking - Schedule Engine,Schedule Engine Voice,92106,$96.00,TRUE,2023,1,January,2023,1,January,1
31631212,1/1/2023,1/3/2023,Plumbing,Water Heater Install - Residential,Completed,Chat/ Online Booking - Schedule Engine,Schedule Engine,92014,$0.00,FALSE,2023,1,January,2023,1,January,1
248812569,1/1/2023,1/5/2023,HVAC Service,Diagnosis,Completed,Google Business Profiles,GMB_SanDiego,92128,$0.00,TRUE,2023,1,January,2023,1,January,1
331494831,1/1/2023,1/5/2023,HVAC Service,Diagnosis,Completed,Google Business Profiles,GMB_SanDiego,92130,$399.92,TRUE,2023,1,January,2023,1,January,1
31677482,1/1/2023,1/1/2023,Drains,Mainline Stop,Completed,Google Business Profiles,GMB_SanDiego,92105,$446.00,TRUE,2023,1,January,2023,1,January,1
59327434,1/1/2023,1/2/2023,Drains,Mainline Stop,Completed,Google Business Profiles,GMB_SanDiego,92107,$635.00,TRUE,2023,1,January,2023,1,January,1
318672231,1/1/2023,1/5/2023,Drains,Upper/Lower Leak,Completed,Google Business Profiles,GMB_SanDiego,92127,$451.07,TRUE,2023,1,January,2023,1,January,1
84620750,1/1/2023,1/1/2023,Plumbing,Water Heater Install - Commercial,Completed,Google Business Profiles,GMB_SanDiego,91977,$494.00,TRUE,2023,1,January,2023,1,January,1
56557318,1/1/2023,1/3/2023,Plumbing,Water Heater Install - Residential,Completed,Google Business Profiles,GMB_SanDiego,92024,$4100.00,TRUE,2023,1,January,2023,1,January,1
331497785,1/1/2023,1/6/2023,Plumbing,Water Heater Install - Residential,Completed,Google Business Profiles,GMB_SanDiego,92129,$2400.00,TRUE,2023,1,January,2023,1,January,1
331495845,1/1/2023,1/3/2023,Drains,Sump Pump,Completed,Google LSA,Google Local Services,92105,$0.00,TRUE,2023,1,January,2023,1,January,1
306840344,1/1/2023,1/3/2023,Drains,Drain Repair,Completed,Outbound SMS,ST Outbound Text Lines,92037,$214.05,TRUE,2023,1,January,2023,1,January,1
31569366,1/1/2023,1/9/2023,Drains,Lavatory Stop,Completed,PPC,Google | Search | Brand,91911,$316.00,TRUE,2023,1,January,2023,1,January,1
31690403,1/1/2023,1/1/2023,Drains,Toilet Stop,Completed,PPC,Google | Search | Competitor,92117,$1016.00,TRUE,2023,1,January,2023,1,January,1
94669674,1/1/2023,1/3/2023,Plumbing,Plumbing Service,Completed,Repeat Customer,Repeat Customer,92117,$0.00,TRUE,2023,1,January,2023,1,January,1
331494823,1/1/2023,1/3/2023,Restoration EMS,Demo for EMS Job,Completed,Website,Website Phone Calls,92075,$0.00,FALSE,2023,1,January,2023,1,January,1
331508650,1/1/2023,1/3/2023,Drains,Laundry Stop,Completed,Website,Website Phone Calls,92120,$92.00,TRUE,2023,1,January,2023,1,January,1
325117259,1/1/2023,1/3/2023,Drains,Leak Below Kitchen,Completed,Website,Website Phone Calls,92111,$0.00,TRUE,2023,1,January,2023,1,January,1
31731651,1/1/2023,1/1/2023,Drains,Mainline Stop,Completed,Website,Website Phone Calls,91942,$446.00,TRUE,2023,1,January,2023,1,January,1
331496268,1/1/2023,1/1/2023,Drains,Mainline Stop,Completed,Website,Website Phone Calls,92110,$436.00,TRUE,2023,1,January,2023,1,January,1
327631405,1/1/2023,1/1/2023,Restoration EMS,Service Call,Completed,Website,Website Phone Calls,92064,$0.00,FALSE,2023,1,January,2023,1,January,1
31714875,1/1/2023,1/3/2023,Drains,Toilet Stop,Completed,Website,Website Phone Calls,92122,$123.00,TRUE,2023,1,January,2023,1,January,1
331497842,1/1/2023,1/1/2023,HVAC Service,Diagnosis,Completed,Yelp,Yelp,92104,$682.00,TRUE,2023,1,January,2023,1,January,1
331525321,1/2/2023,1/4/2023,Plumbing,Hose Bib,Canceled,Branded Phone Number,Local 619,92130,$0.00,TRUE,2023,1,January,2023,1,January,2
31725377,1/2/2023,1/3/2023,Drains,Kitchen Stop,Canceled,Branded Phone Number,Local 619,92110,$0.00,TRUE,2023,1,January,2023,1,January,2
