,,Customer ID,Created Date,Completion Date,Invoice Business Unit,Job Type,Job Status,Campaign Category,Campaign,Location Zip,Total,Opportunity
Invoice Business Unit: HVAC Install,,,,,,,,,,,,
,Job Type: A/C New Install,,,,,,,,,,,
,,31596959,9/4/2026,8/24/2026,HVAC Install,A/C New Install,Completed,Direct Web Traffic,Direct Web Traffic,92130,-$1500.00,TRUE
,,1117873413,8/24/2026,,HVAC Install,A/C New Install,Scheduled,Branded Phone Number,Local 619,92101,$13054.55,TRUE
,,470988472,8/25/2026,,HVAC Install,A/C New Install,Scheduled,Google Business Profiles,GMB_SanDiego,92009,$141390.52,TRUE
,,1118299358,8/25/2026,8/14/2026,HVAC Install,A/C New Install,Completed,PPC,Google | Search | HVAC,91942,$0.00,TRUE
,,1129604845,8/27/2026,,HVAC Install,A/C New Install,Scheduled,Sameday AI,Sameday AI,92009,$22154.32,TRUE
,,1120018843,8/28/2026,8/25/2026,HVAC Install,A/C New Install,Completed,PPC,Google | PMAX | Drains,91911,$0.00,TRUE
,,31596959,8/28/2026,8/24/2026,HVAC Install,A/C New Install,Completed,Direct Web Traffic,Direct Web Traffic,92130,$0.00,TRUE
,,31596959,8/28/2026,8/24/2026,HVAC Install,A/C New Install,Completed,Direct Web Traffic,Direct Web Traffic,92130,$0.00,TRUE
,,31596959,8/28/2026,8/24/2026,HVAC Install,A/C New Install,Completed,Direct Web Traffic,Direct Web Traffic,92130,$0.00,TRUE
,,1120018843,8/31/2026,8/25/2026,HVAC Install,A/C New Install,Completed,PPC,Google | PMAX | Drains,91911,$0.00,TRUE
,,1120018843,8/31/2026,8/25/2026,HVAC Install,A/C New Install,Completed,PPC,Google | PMAX | Drains,91911,$0.00,TRUE
,,1120018843,8/31/2026,8/25/2026,HVAC Install,A/C New Install,Completed,PPC,Google | PMAX | Drains,91911,$0.00,TRUE
,,902469128,8/31/2026,7/9/2026,HVAC Install,A/C New Install,Completed,Branded Phone Number,Local 619,92021,$14838.24,TRUE
,,31596959,8/31/2026,8/24/2026,HVAC Install,A/C New Install,Completed,Direct Web Traffic,Direct Web Traffic,92130,$0.00,TRUE
,,62304199,9/1/2026,8/28/2026,HVAC Install,A/C New Install,Completed,Google Business Profiles,GMB_SanDiego,92118,$0.00,TRUE
,,1116891102,9/1/2026,8/31/2026,HVAC Install,A/C New Install,Completed,Sameday AI,Sameday AI,92103,$0.00,TRUE
,,462015622,9/1/2026,,HVAC Install,A/C New Install,Scheduled,Branded Phone Number,A1-800-BILL HOWE,92173,$18492.89,TRUE
,,62304199,9/2/2026,8/28/2026,HVAC Install,A/C New Install,Completed,Google Business Profiles,GMB_SanDiego,92118,$0.00,TRUE
,,31727681,9/3/2026,9/2/2026,HVAC Install,A/C New Install,Completed,PPC,Google | Search | Brand,92024,$0.00,TRUE
,,1116891102,9/3/2026,8/31/2026,HVAC Install,A/C New Install,Completed,Sameday AI,Sameday AI,92103,$0.00,TRUE
,,62304199,9/3/2026,8/28/2026,HVAC Install,A/C New Install,Completed,Google Business Profiles,GMB_SanDiego,92118,$0.00,TRUE
,,1116891102,9/3/2026,8/31/2026,HVAC Install,A/C New Install,Completed,Sameday AI,Sameday AI,92103,$0.00,TRUE
,,275689281,9/3/2026,,HVAC Install,A/C New Install,Hold,Branded Phone Number,Local 619,92101,$11189.98,TRUE
,,31727681,9/3/2026,9/2/2026,HVAC Install,A/C New Install,Completed,PPC,Google | Search | Brand,92024,$0.00,TRUE
,,31727681,9/3/2026,9/2/2026,HVAC Install,A/C New Install,Completed,PPC,Google | Search | Brand,92024,$0.00,TRUE
,,31727681,9/3/2026,9/2/2026,HVAC Install,A/C New Install,Completed,PPC,Google | Search | Brand,92024,$0.00,TRUE
,,1130503865,9/4/2026,,HVAC Install,A/C New Install,Hold,Direct Web Traffic,Direct Web Traffic,92007,$22283.43,TRUE
,,,,,27,27,27,27,27,,$241903.93,
,Job Type: Dryer Vent Cleaning,,,,,,,,,,,
,,31729945,8/26/2026,,HVAC Install,Dryer Vent Cleaning,Scheduled,Google Business Profiles,GMB_SanDiego,92139,$459.70,TRUE
,,31681566,8/27/2026,8/28/2026,HVAC Install,Dryer Vent Cleaning,Canceled,Outbound SMS,ST Outbound Text Lines,92037,$0.00,TRUE
,,1131400148,9/1/2026,,HVAC Install,Dryer Vent Cleaning,Hold,Google Business Profiles,GMB_SanDiego,92123,$435.50,TRUE
,,67078292,9/5/2026,,HVAC Install,Dryer Vent Cleaning,Hold,Branded Phone Number,Local 619,92011,$0.00,TRUE
,,,,,4,4,4,4,4,,$895.20,
,Job Type: Full System Install,,,,,,,,,,,
,,1093196671,8/24/2026,8/4/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,A1-800-BILL HOWE,91941,$0.00,TRUE
,,1115959251,8/24/2026,8/14/2026,HVAC Install,Full System Install,Completed,Sameday AI,Sameday AI,92101,$0.00,TRUE
,,89402750,8/24/2026,8/11/2026,HVAC Install,Full System Install,Completed,PPC,Google | Search | Brand,92064,$0.00,TRUE
,,1040106797,8/24/2026,8/14/2026,HVAC Install,Full System Install,Completed,Google LSA,Google Local Services,92078,$0.00,TRUE
,,31574511,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92110,$0.00,TRUE
,,255447514,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92107,$0.00,TRUE
,,31574511,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92110,$0.00,TRUE
,,31578504,8/24/2026,8/18/2026,HVAC Install,Full System Install,Completed,Direct Web Traffic,Direct Web Traffic,92107,$0.00,TRUE
,,255447514,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92107,$0.00,TRUE
,,95044374,8/24/2026,8/21/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92130,$0.00,TRUE
,,31574511,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92110,$0.00,TRUE
,,31574511,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92110,-$490.88,TRUE
,,31574511,8/24/2026,8/19/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92110,$0.00,TRUE
,,31671540,8/25/2026,8/24/2026,HVAC Install,Full System Install,Completed,Google Business Profiles,GMB_SanDiego,92019,$0.00,TRUE
,,95044374,8/25/2026,8/21/2026,HVAC Install,Full System Install,Completed,Branded Phone Number,Local 619,92130,$0.00,TRUE
,,31671540,8/25/2026,8/24/2026,HVAC Install,Full System Install,Completed,Google Business Profiles,GMB_SanDiego,92019,$0.00,TRUE
