Customer ID,Created Date,Completion Date,Invoice Business Unit,Job Type,Job Status,Campaign Category,Campaign,Location Zip,Total,Opportunity,C Year,C Qtr,C Mo,B Year,B Qtr,B Mo,B Wk
101784632,2026-08-24,2026-08-19,Plumbing Service,Toilet Leak,Completed,Yelp,Yelp,92037,0.00,TRUE,2026,3,August,2026,3,August,34
1036499130,2026-08-24,2026-08-20,Plumbing Service,Water Filtration Repair,Completed,Branded Phone Number,Local 619,92071,0.00,TRUE,2026,3,August,2026,3,August,34
1040106797,2026-08-24,2026-08-14,HVAC Install,Full System Install,Completed,Google LSA,Google Local Services,92078,0.00,TRUE,2026,3,August,2026,3,August,33
1066333123,2026-08-24,2026-07-21,Plumbing Service,Plumbing Service,Completed,PPC,Google | Search | Brand,92109,0.00,TRUE,2026,3,August,2026,3,July,30
1067251475,2026-08-24,2026-08-24,Plumbing Service,Leak Below Kitchen,Completed,Branded Phone Number,Local 619,92037,500.00,TRUE,2026,3,August,2026,3,August,35
1072255993,2026-08-24,2026-08-28,Plumbing Service,Slab Leak,Completed,Branded Phone Number,Local 619,91941,0.00,FALSE,2026,3,August,2026,3,August,35
1078907454,2026-08-24,2026-07-31,Lining Install - CA,Lining,Completed,Branded Phone Number,A1-800-BILL HOWE,91977,-3200.00,TRUE,2026,3,August,2026,3,July,31
1079504914,2026-08-24,,Plumbing Maintenance,Recurring Services: Plumbing Inspection,Scheduled,Branded Phone Number,Local 619,92114,0.00,TRUE,2026,3,August,,,,
1080368450,2026-08-24,2026-09-02,Plumbing Maintenance,Recurring Services: B.F.P. Water Heater/Tankless Flush,Completed,,Memberships due for Service,92014,0.00,TRUE,2026,3,August,2026,3,September,36
1080579005,2026-08-24,2026-09-04,HVAC Service,Diagnosis,Completed,Email,Legacy Email Marketing Multiple Offers,92037,87.00,TRUE,2026,3,August,2026,3,September,36
1080793737,2026-08-24,2026-09-01,HVAC Service,Diagnosis,Completed,PPC,Google | Search | Brand,92011,1215.20,TRUE,2026,3,August,2026,3,September,36
1089437292,2026-08-24,2026-07-22,HVAC Install,Heater New Install,Completed,Google Business Profiles,GMB_SanDiego,92103,0.00,TRUE,2026,3,August,2026,3,July,30
1090464438,2026-08-24,2026-08-19,Plumbing Service,Reset Toilet,Completed,PPC,Google | Search | Brand,92037,0.00,TRUE,2026,3,August,2026,3,August,34
1093196671,2026-08-24,2026-08-04,HVAC Install,Full System Install,Completed,Branded Phone Number,A1-800-BILL HOWE,91941,0.00,TRUE,2026,3,August,2026,3,August,32
