Customer ID,Created Date,Completion Date,Invoice Business Unit,Job Type,Job Status,Campaign Category,Campaign,Location Zip,Total,Opportunity,C Year,C Qtr,C Mo,B Year,B Qtr,B Mo,B Wk
1129495310,2026-08-24,,Plumbing Sales,,,,,91942,0.00,TRUE,2026,3,August,,,,
337293755,2026-08-25,,Plumbing Sales,,,,,,0.00,TRUE,2026,3,August,,,,
682749439,2026-08-25,,Plumbing Sales,,,,,92154,0.00,TRUE,2026,3,August,,,,
682750097,2026-08-25,,Plumbing Sales,,,,,91911,0.00,TRUE,2026,3,August,,,,
682751586,2026-08-25,,Plumbing Sales,,,,,92081,0.00,TRUE,2026,3,August,,,,
682768328,2026-08-25,,Plumbing Sales,,,,,,0.00,TRUE,2026,3,August,,,,
682769687,2026-08-25,,Plumbing Sales,,,,,,0.00,TRUE,2026,3,August,,,,
682778037,2026-08-25,,Plumbing Sales,,,,,,0.00,TRUE,2026,3,August,,,,
325656230,2026-08-26,,Plumbing Sales,,,,,,0.00,TRUE,2026,3,August,,,,
682788311,2026-08-26,,Plumbing Sales,,,,,,0.00,TRUE,2026,3,August,,,,
682814391,2026-08-26,,Plumbing Sales,,,,,92029,0.00,TRUE,2026,3,August,,,,
